item no.,safety_stock,rop,warehouse_capacity,min,max,lead_time,avg,item description,base uom,po uom,abc classification,item category,category description,quantity on hand,product group,product group description,rank,discontinued,unit price_first tier,eor
CBC-ARGSE,,,,,,1,,CUSTOMBUSINESSCARDSANTHONYROVETTI/GREENSH,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-BLAC-LABE,,,,,,1,,CUSTOMBLISTERPACKINSERTCARDONLYBLACKLABEL,EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-CALI-GOLD,,,,,,1,,CUSTOMBLISTERPACKINSERTONLYCALIFORNIAGOLD,EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-COMMC-0.5-SATIVA,,,,,,1,,CUSTOMBLISTERCARD-COMMCAN-0.5ML-SATIVA-ORANGE,EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-COMMC-SYRINGE-S,,,,,,1,,CUSTOMBLISTERCARD-COMMCAN-SYRINGE-SATIVA-ORANGE,EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-DTHC,,,,,,1,,CUSTOMBUSINESSCARDSDTHC,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-DTHC2,,,,,,1,,CUSTOMBUSINESSCARDSDTHCCANDI,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-ERD32,,,,,,1,,CUSTOMBUSINESSCARDSEXQUISITEREMEDIESDAVID,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-ERF32,,,,,,1,,CUSTOMBUSINESSCARDSEXQUISITEREMEDIESFRANK,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-ERH32,,,,,,1,,CUSTOMBUSINESSCARDSEXQUISITEREMEDIESHECTO,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-EVO34,,,,,,1,,"CUSTOMBLISTERCARDSEVOEXTRACTS3""X4""",EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-PCR/OGB1,,,,,,1,,CUSTOMBLISTERCARDPCR/OGB,EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-RMB,,,,,,1,,CUSTOMBUSINESSCARDRELIABLEREMEDIESBLACK,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBC-THO34,,,,,,1,,"CUSTOMBLISTERCARDTRUEHEALTHORGANICS3""X",EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBC-ZMWM,,,,,,1,,CUSTOMBUSINESSCARDZIPMEDICAL/WEEDMAPS,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBCZIPMEDICALS,,,,,,1,,CUSTOMBUSINESSCARDZIPMEDICALS,EA,EA,C,L,Custom,,L5,CustomBusinessCards,Custom,No,,
CBI-DMCK,,,,,,1,,CUSTOMINSERTDAVIDMACKLIN/SOL-FORBP5NC,EA,EA,C,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBL-AP1,,,,,,1,,CUSTOMBICLIGHTERAPOTHECARIUM,EA,EA,C,L,Custom,,L12,CustomLighters,Custom,No,,
CBL-ASF1,,,,,,1,,CUSTOMBICLIGHTERAPOTHECARIUMSTATEFLOWER,EA,EA,C,L,Custom,,L12,CustomLighters,Custom,No,,
CBL-GRNPSTR1,,,,,,1,,CUSTOMBICLIGHTERGREENERPASTURESLARGE,EA,EA,C,L,Custom,,L12,CustomLighters,Custom,No,,
CBL-XD1,,,,,,1,,CUSTOMBICLIGHTERXTRACTORDEPOT,EA,EA,C,L,Custom,,L12,CustomLighters,Custom,No,,
CBP-BBB5,,,,,,1,,CUSTOMBLISTERPACKAGINGBBBFARMSFITS0.5ML,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-BHJ5,,,,,,1,,CUSTOMBLISTERPACKBBBFARMSHIJINX0.5ML,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-CC-HH-CSAMPLE,,,,,,1,,CBP--CANNACLOUDS-HANGHOLE-CENTEREDCARTSAMPLE,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-CH-EX-2ML,,,,,,1,,CUSTOM-BLISTER-PACK-CHOICE-EXTRACTS-CEI-2ML,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-CHO-EX-DIPS,,,,,,1,,CUSTOM-BLISTERPACK-CHOICE-EXTRACTION-VAPE-DISPO,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-DW,,,,,,1,,CUSTOMBLISTERPACKDABWARS,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-EBX1,,,,,,1,,CUSTOMBLISTERPACKERMONT/BOOSTX1,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-EFLX1,,,,,,1,,CUSTOMBLISTERPACKERMONT/FLOATX1,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-EFX1,,,,,,1,,CUSTOMBLISTERPACKERMONT/FADEX1,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-ELV8-DISVA-HY,,,,,,1,,CUSTOM-BLISTERPACK-ELEV8-1000MG-DISPOSABLE-HYBRID,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-ELV8-DISVA-IND,,,,,,1,,CUSTOM-BLISTERPACK-ELEV8-1000MG-DISPOSABLE-INDICA,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-ELV8-DISVA-SAT,,,,,,1,,CUSTOM-BLISTERPACK-ELEV8-1000MG-DISPOSABLE-SATIVA,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-EPX1,,,,,,1,,CUSTOMBLISTERPACKERMONT/PEAKX1,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-GH-DIS-IS,,,,,,1,,CBP-GARYHALL-INSERT-DISTILLATE,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-GH-DIS-SAP,,,,,,1,,CBP-GARYHALL-INSERT-SAP,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-GH-WLDFLWRHC-BLI,,,,,,1,,CUSTOMBLISTERPACKSET-GARYHALL-WILDFLOWER,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBP-HZ1,,,,,,1,,CUSTOMBLISTERPACKAGINGHAZEFOR1ML1COUN,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-KC-DIS-PEN,,,,,,1,,CUSTOM-BLISTER-PACKAGING-NO-INSERT-KUTOS-CORP,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-NOB-DIS-VAPE,,,,,,1,,CUSTOM-BLISTER-PACK-NOBO-DISTILLATE-VAPE-1G,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-NOB-FULSPEC-VAPE,,,,,,1,,CUSTOM-BLISTER-PACK-NOBO-FULLSPECTRUM-CO2-VAPE-1G,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-RCR5,,,,,,1,,CUSTOMBLISTERPACKAGINGRIPCITYREMEDIESFIT,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-SAC-SAG,,,,,,1,,CUSTOM-BLISTER-PACK-SACRED-SAGE-MATTE,EA,EA,,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-SHRLAGRVL-BLISTE,,,,,,1,,CUSTOMBLISTERPACK-SHARLAGRAVELLE-CARDBOARD,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBP-SMKNT,,,,,,1,,CUSTOMBLISTERPACKAGESMOKENATION,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-SN3X2CI,,,,,,1,,CUSTOMBLISTERPACKAGINGSONOMANECTARCARDIN,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-SNAXCI,,,,,,1,,CUSTOMBLISTERPACKAGINGSONOMANECTAR/ASYLUM,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-SS-FD-BLUDR-SAT,,,,,,1,,CUSTOM-BLISTER-FLYDUTCH-BLUEDREAM-SATIVA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-FD-FORFR-IND,,,,,,1,,CUSTOM-BLISTER-FLYDUTCH-FORBID-FRUIT-INDICA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-FD-GG4-HY,,,,,,1,,CUSTOM-BLISTER-FLYDUTCH-GG4-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-FD-SKYWOG-HY,,,,,,1,,CUSTOM-BLISTER-FLYDUTCH-SKYWALK-OG-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-GG4-IND,,,,,,1,,CUSTOM-BLISTER-SECRETSTASH-GG4-INDICA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-GK-BERGE-HY,,,,,,1,,CUSTOM-BLISTER-GECKO-BERRYGELA-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-GK-GA-IND,,,,,,1,,CUSTOM-BLISTER-GECKO-GRAPEAPE-INDICA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-GK-GG4-HY,,,,,,1,,CUSTOM-BLISTER-GECKO-GG4-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-GK-SSD-SAT,,,,,,1,,CUSTOM-BLISTER-SUPSOURDIESEL-SATIVA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-HY-BLDRM-SAT,,,,,,1,,CUSTOM-BLISTER-HYDRA-BLUEDREAM-SATIVA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-HY-BLWID-HY,,,,,,1,,CUSTOM-BLISTER-SECRETSTASH-HYDRA-BLUEWIDOW-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-HY-FORFR-IND,,,,,,1,,CUSTOM-BLISTER-HYDRA-FORBIDENFRUIT-INDICA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-HY-WW-HY,,,,,,1,,CUSTOM-BLISTER-HYDRA-WHITEWIDOW-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-ORCR-HY,,,,,,1,,CUSTOM-BLISTER-SECRETSTASH-ORANGECREM-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-SSDI-SAT,,,,,,1,,CUSTOM-BLISTER-SECRETSTASH-SATIVA-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-SS-WATZKI-HY,,,,,,1,,CUSTOM-BLISTER-SECRETSTASH-WATERZKITT-HYBRID-950MG,EA,EA,,L,Custom,,L2,CustomBlisterCards,Custom,No,,
CBP-TT1,,,,,,1,,CUSTOMBLISTERPACKSTRINITYTERPENESFOR1ML,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-TT5,,,,,,1,,CUSTOMBLISTERPACKTRYKETERPSFITS0.5ML,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-VALL-HOL,,,,,,1,,CUSTOMPHARMACYBAG-VALLEJOHOLISTICBAG#74COL,EA,EA,C,L,Custom,,L16,CustomPharmacyBags,Custom,No,,
CBP-VPCCI,,,,,,1,,CUSTOMBLISTERPACKAGINGVALLEYPATIENTSCOLLECT,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBP-WP,,,,,,1,,CUSTOMBLISTERPACKAGINGWOLFPACK,EA,EA,C,L,Custom,,L3,CustomBlisterPackaging,Custom,No,,
CBS-880I,0,0,0,1,1,0,1,HORIZONTALBANDSEALERRIGHTTOLEFTFEED,EA,EA,B,N,Machinery,,N2,MACHINES,Dropship,No,869,
CBS-880I-DC,0,0,0,4,4,0,4,HORIZONTALBANDSEALERRTTOLEFT+DIGITALCOUNTER,EA,EA,,N,Machinery,,N2,MACHINES,SpecialOrder,No,1025,
CBX-,,,,,,1,,,,,,,,,,,Custom,No,,
CBX-404X-GM-CART,,,,,,1,,CUSTOMBOX-404X-GODMODE-CARTBOX,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-20DR-CHRY,,,,,,1,,CUSTOM-BOX-406FARMACY-20DRAM-CHERRY,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-20DR-COCO,,,,,,1,,CUSTOM-BOX-406FARMACY-20DRAM-COCOLIME,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-20DR-ORG,,,,,,1,,CUSTOM-BOX-406FARMACY-20DRAM-ORANGE,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-CART-1000MG,,,,,,1,,CUSTOM-BOX-406FARMACY-CART-1000MG,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-CART-500MG,,,,,,1,,CUSTOM-BOX-406FARMACY-CART-500MG,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-CHER-M5,,,,,,1,,CUSTOM-BOX-406-FARMACY-CHERRY-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-COCO-M5,,,,,,1,,CUSTOM-BOX-406-FARMACY-COCOLIME-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-CRT-1000MG,,,,,,1,,CUSTOM-CART-BOX-406-FARMACY-1000MG-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-CRT-500MG,0,0,0,2000,2000,0,2000,CUSTOM-CART-BOX-406-FARMACY-500MG-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-GRNAP-M5,,,,,,1,,CUSTOM-BOX-406-FARMACY-GREENAPPLE-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-ORG-M5,,,,,,1,,CUSTOM-BOX-406-FARMACY-ORANGE-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-TIKP,,,,,,1,,CUSTOM-BOX-406FARMACY-TIKPRO-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-406F-TKPR-M5,,,,,,1,,CUSTOM-BOX-406-FARMACY-TIKPRO-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-420K-EXT-1G,,,,,,1,,CUSTOM-BOX-420-KINGDOM-CANNABIS-EXTRACT-1G,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-50CAL-500MG-C,,,,,,1,,CUSTOM-BOX-50CAL-CANNA-500MG-CART,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-50CAL-510CART,,,,,,1,,CUSTOMBOX-50CALCANNABIS-510CARTRIDGE,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-5LEAF-25M-C-TUBE,,,,,,1,,CUSTOMBOX-5LEAFFAB-25MMCARTTUBE-WHITEBUTTON-,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AB-5ML-DRWR-FRPC,,,,,,1,,CUSTOMBOX-ARCADIA-5ML-DRAWER-FLWRROSIN-INDOORPREMI,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AB-5ML-DRWR-FRSC,,,,,,1,,CUSTOMBOX-ARCADIA-5ML-DRAWER-FLWRROSIN-SUNSELECT,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AB-5ML-DRWR-LRPC,,,,,,1,,CUSTOMBOX-ARCADIA-5ML-DRAWER-LIVEROSIN-PREMIUM,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AB-5ML-DRWR-LRSC,,,,,,1,,CUSTOMBOX-ARCADIA-5ML-DRAWER-LIVEROSIN-SELECT,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ACC-CART-M5,,,,,,1,,CUSTOM-BOX-AMERICAN-CANNABIS-CO-CART-M5,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AD-M5-CART-ROLTY,,,,,,1,,CUSTOMBOX-CRM5-CARTRIDGE-ROYALTY-MATTE,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AF-M5-CR-CRT-MAT,1500,9000,18000,2000,3000,3,2500,CUSTOMBOX-M5-CRCARTRIDGEBOX-MATTE,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AFCO-VC-PCB,0,0,0,10000,10000,0,10000,CUSTOMBOX-AMERICANFIBERCO-VALORCRAF-PREMCONBOX,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
