item no.,safety_stock,rop,warehouse_capacity,min,max,lead_time,avg,item description,base uom,po uom,abc classification,item category,category description,quantity on hand,product group,product group description,rank,discontinued,unit price_first tier,eor
CBX-AO-HOC-EH,0,0,0,5000,5000,0,5000,CUSTOMBOX-ALTERNATIVEOUTLET-HOUSEOFCONGO-EQHYB,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-APE-EX-1G,,,,,,1,,CUSTOM-BOX-APE-EXTRACT-1GRAM,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-AR-KRAFT-14.15,,,,,,1,,CBX-ANCIENTROOTS-KRAFT-14.15,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ARC-3LS-CR,,,,,,1,,CUSTOM-BOX-ARCANA-3LEFTS-CALYX-CUBE,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ARC-IK,,,,,,1,,CUSTOM-BOX-ARCANA-M5-510-IKRUSHER,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ARC-JUP-3LS,,,,,,1,,CUSTOM-TRIANGLE-BOX-ARCANA-JUPITOR-510CART-3LEFTS,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ARC-TP-3LS,,,,,,1,,CUSTOM-SLIDE-BOX-ARCANA-TICPRO-3LEFTS,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ARC-VF-3LS,,,,,,1,,CUSTOM-TRIANGLE-BOX-ARCANA-VFIRE-CART-3LEFTS,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ARW-EX-1G,,,,,,1,,CUSTOM-BOX-ARROW-EXTRACTS-1GRAM,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ATL-FRMS-SMP,,,,,,1,,CUSTOM-BOX-ATLANTIC-FARMS-SAMPLE,EA,EA,,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
CBX-ATLFARMS-9MLQUBE,,,,,,1,,CUSTOMBOX-ATLANTICFARMS-9MLQUBE,EA,EA,C,L,Custom,,L7,CustomCardboardPackaging,Custom,No,,
